BTC,ETH,LTC,XLM,Datetime,Count
56905.74,4166.82,376.47,0.72,05/11/2021 19:43:39,0
56915.74,4166.53,379.39,0.72,05/11/2021 19:47:43,5
57076.10,4189.83,379.92,0.73,05/11/2021 19:52:56,10
57031.95,4198.90,379.60,0.73,05/11/2021 19:57:58,15
57022.89,4190.41,381.42,0.74,05/11/2021 20:03:01,20
57495.99,4206.50,385.76,0.74,05/11/2021 20:08:03,25
57371.37,4198.10,385.42,0.73,05/11/2021 20:13:06,30
57239.62,4179.99,386.36,0.73,05/11/2021 20:18:08,35
57274.57,4195.88,388.73,0.73,05/11/2021 20:23:10,40
57354.60,4204.72,388.13,0.72,05/11/2021 20:28:13,45
57344.42,4196.85,387.41,0.72,05/11/2021 20:33:15,50
57619.88,4191.75,391.49,0.72,05/11/2021 20:38:17,55
57455.95,4187.78,390.14,0.72,05/11/2021 20:43:20,60
